article_title,revision_id,url,country,article_quality
Zalmai Mujadidi,1223903677,https://en.wikipedia.org/wiki/Zalmai_Mujadidi,Afghanistan,Start
Sardar Mohammad Nadir Naeem,1204109653,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,Afghanistan,Stub
Daoud Naji,1247131367,https://en.wikipedia.org/wiki/Daoud_Naji,Afghanistan,Start
Gholam Rabani Nasher,1136534788,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,Afghanistan,Stub
Ghulam Faroq Nijrabi,1136614778,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,Afghanistan,Stub
Zabih-U-llah Ghazi Noristani,1136614682,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,Afghanistan,Start
Mohammed Tahir Omar,1185088733,https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar,Afghanistan,Stub
Mohammed Qalamuddin,1178097642,https://en.wikipedia.org/wiki/Mohammed_Qalamuddin,Afghanistan,Stub
Ghulam Mohammad Rigi,1129192917,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Afghanistan,Stub
Ghulam Hassan Safi,1176507815,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Afghanistan,Stub
Hanifa Safi,1123824802,https://en.wikipedia.org/wiki/Hanifa_Safi,Afghanistan,Stub
Mohammed Zia Salehi,1225457074,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,Afghanistan,Stub
Abdul Majid Samim,1225425205,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Afghanistan,Stub
Saber Sangar,1227951669,https://en.wikipedia.org/wiki/Saber_Sangar,Afghanistan,Stub
Sayed Nasim Mihanparast,1172646418,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,Afghanistan,Stub
Suhail Shaheen,1198363158,https://en.wikipedia.org/wiki/Suhail_Shaheen,Afghanistan,Start
Fazal Hadi Shinwari,1242412237,https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari,Afghanistan,GA
Baktash Siawash,1250972393,https://en.wikipedia.org/wiki/Baktash_Siawash,Afghanistan,Stub
